lap_number,elapsed_time,pos_x,pos_z,speed,gear,rpm,throttle,brake,fuel,tyre_pressure_fl,tyre_pressure_fr,tyre_pressure_rl,tyre_pressure_rr,tyre_temp_fl,tyre_temp_fr,tyre_temp_rl,tyre_temp_rr
-3801133,172.41944336891174,-117.73077818789852,420.72970901870417,3.160886287689209,3,-39,0.0,1.0,28.109180450439453,24.108123779296875,23.758258819580078,23.566938400268555,23.207164764404297,70.42578125,68.2391128540039,67.04336547851562,64.79478454589844
-3801133,172.4449872970581,0.0217630034667593,-0.0009125085243075759,3.160886287689209,3,-39,0.0,1.0,28.109180450439453,24.108123779296875,23.758258819580078,23.566938400268555,23.207164764404297,70.42578125,68.2391128540039,67.04336547851562,64.79478454589844
-3801133,172.46252274513245,0.03670291462867681,-0.0015389292436935875,3.160886287689209,3,-39,0.0,1.0,28.109180450439453,24.108123779296875,23.758258819580078,23.566938400268555,23.207164764404297,70.42578125,68.2391128540039,67.04336547851562,64.79478454589844
-3801133,172.48031568527222,0.05186220476318226,-0.002174548380147634,3.160886287689209,3,-39,0.0,1.0,28.109180450439453,24.108123779296875,23.758258819580078,23.566938400268555,23.207164764404297,70.42578125,68.2391128540039,67.04336547851562,64.79478454589844
-3801133,172.50288152694702,0.0710879279090193,-0.0029806703974211146,3.160886287689209,3,-39,0.0,1.0,28.109180450439453,24.108123779296875,23.758258819580078,23.566938400268555,23.207164764404297,70.42578125,68.2391128540039,67.04336547851562,64.79478454589844
-3801133,172.52887296676636,0.09323220390498932,-0.003909165429910821,3.160886287689209,3,-39,0.0,1.0,28.109180450439453,24.108123779296875,23.758258819580078,23.566938400268555,23.207164764404297,70.42578125,68.2391128540039,67.04336547851562,64.79478454589844
-3801133,172.5466911792755,0.10841302567939692,-0.00454568737396599,3.160886287689209,3,-39,0.0,1.0,28.109180450439453,24.108123779296875,23.758258819580078,23.566938400268555,23.207164764404297,70.42578125,68.2391128540039,67.04336547851562,64.79478454589844
-3801133,172.5648455619812,0.12388025889023879,-0.005194218362526648,3.160886287689209,3,-39,0.0,1.0,28.109180450439453,24.108123779296875,23.758258819580078,23.566938400268555,23.207164764404297,70.42578125,68.2391128540039,67.04336547851562,64.79478454589844
-3801133,172.58204436302185,0.1385333523583654,-0.005808613003301488,3.160886287689209,3,-39,0.0,1.0,28.109180450439453,24.108123779296875,23.758258819580078,23.566938400268555,23.207164764404297,70.42578125,68.2391128540039,67.04336547851562,64.79478454589844
-3801133,172.59927940368652,0.15321732138559696,-0.006424302236108126,3.160886287689209,3,-39,0.0,1.0,28.109180450439453,24.108123779296875,23.758258819580078,23.566938400268555,23.207164764404297,70.42578125,68.2391128540039,67.04336547851562,64.79478454589844
-3801133,172.62050104141235,0.17129780504305359,-0.0071824051094653285,3.160886287689209,3,-39,0.0,1.0,28.109180450439453,24.108123779296875,23.758258819580078,23.566938400268555,23.207164764404297,70.42578125,68.2391128540039,67.04336547851562,64.79478454589844
-3801133,172.63859057426453,0.18670978725339182,-0.007828619459653297,3.160886287689209,3,-39,0.0,1.0,28.109180450439453,24.108123779296875,23.758258819580078,23.566938400268555,23.207164764404297,70.42578125,68.2391128540039,67.04336547851562,64.79478454589844
-3801133,172.65648245811462,0.20195337578940098,-0.008467773173036264,3.160886287689209,3,-39,0.0,1.0,28.109180450439453,24.108123779296875,23.758258819580078,23.566938400268555,23.207164764404297,70.42578125,68.2391128540039,67.04336547851562,64.79478454589844
-3801133,172.6736376285553,0.21656929670939462,-0.009080609193141242,3.160886287689209,3,-39,0.0,1.0,28.109180450439453,24.108123779296875,23.758258819580078,23.566938400268555,23.207164764404297,70.42578125,68.2391128540039,67.04336547851562,64.79478454589844
-3801133,172.6911642551422,0.2315016921102142,-0.009706714781572146,3.160886287689209,3,-39,0.0,1.0,28.109180450439453,24.108123779296875,23.758258819580078,23.566938400268555,23.207164764404297,70.42578125,68.2391128540039,67.04336547851562,64.79478454589844
-3801133,172.70881581306458,0.2465405269384746,-0.010337283305691614,3.160886287689209,3,-39,0.0,1.0,28.109180450439453,24.108123779296875,23.758258819580078,23.566938400268555,23.207164764404297,70.42578125,68.2391128540039,67.04336547851562,64.79478454589844
-3801133,172.72628450393677,0.2614235620704619,-0.010961319250282209,3.160886287689209,3,-39,0.0,1.0,28.109180450439453,24.108123779296875,23.758258819580078,23.566938400268555,23.207164764404297,70.42578125,68.2391128540039,67.04336547851562,64.79478454589844
-3801133,172.74371099472046,0.2762706434263862,-0.011583847676519987,3.160886287689209,3,-39,0.0,1.0,28.109180450439453,24.108123779296875,23.758258819580078,23.566938400268555,23.207164764404297,70.42578125,68.2391128540039,67.04336547851562,64.79478454589844
-3801133,172.76079440116882,0.29082542261420485,-0.012194120063719893,3.160886287689209,3,-39,0.0,1.0,28.109180450439453,24.108123779296875,23.758258819580078,23.566938400268555,23.207164764404297,70.42578125,68.2391128540039,67.04336547851562,64.79478454589844
-3801133,172.7784445285797,0.3058630386703953,-0.012824637485522317,3.160886287689209,3,-39,0.0,1.0,28.109180450439453,24.108123779296875,23.758258819580078,23.566938400268555,23.207164764404297,70.42578125,68.2391128540039,67.04336547851562,64.79478454589844
-3801133,172.79576635360718,0.32062094653653617,-0.013443426925562996,3.160886287689209,3,-39,0.0,1.0,28.109180450439453,24.108123779296875,23.758258819580078,23.566938400268555,23.207164764404297,70.42578125,68.2391128540039,67.04336547851562,64.79478454589844
-3801133,172.81326293945312,0.33552774772388716,-0.014068459365335961,3.160886287689209,3,-39,0.0,1.0,28.109180450439453,24.108123779296875,23.758258819580078,23.566938400268555,23.207164764404297,70.42578125,68.2391128540039,67.04336547851562,64.79478454589844
-3801133,172.83059287071228,0.35029256196509095,-0.014687538385173227,3.160886287689209,3,-39,0.0,1.0,28.109180450439453,24.108123779296875,23.758258819580078,23.566938400268555,23.207164764404297,70.42578125,68.2391128540039,67.04336547851562,64.79478454589844
-3801133,172.84775137901306,0.3649113266865811,-0.015300493644017976,3.160886287689209,3,-39,0.0,1.0,28.109180450439453,24.108123779296875,23.758258819580078,23.566938400268555,23.207164764404297,70.42578125,68.2391128540039,67.04336547851562,64.79478454589844
-3801133,172.86514115333557,0.37972712622604377,-0.015921710444118276,3.160886287689209,3,-39,0.0,1.0,28.109180450439453,24.108123779296875,23.758258819580078,23.566938400268555,23.207164764404297,70.42578125,68.2391128540039,67.04336547851562,64.79478454589844
-3801133,172.88301348686218,0.3949540582104305,-0.0165601657591683,3.160886287689209,3,-39,0.0,1.0,28.109180450439453,24.108123779296875,23.758258819580078,23.566938400268555,23.207164764404297,70.42578125,68.2391128540039,67.04336547851562,64.79478454589844
-3801133,172.90210056304932,0.4112159308108687,-0.01724201545844206,3.160886287689209,3,-39,0.0,1.0,28.109180450439453,24.108123779296875,23.758258819580078,23.566938400268555,23.207164764404297,70.42578125,68.2391128540039,67.04336547851562,64.79478454589844
-3801133,172.92102217674255,0.42733683210855133,-0.017917954323044327,3.160886287689209,3,-39,0.0,1.0,28.109180450439453,24.108123779296875,23.758258819580078,23.566938400268555,23.207164764404297,70.42578125,68.2391128540039,67.04336547851562,64.79478454589844
-3801133,172.93894600868225,0.44260763988745566,-0.018558249321507958,3.160886287689209,3,-39,0.0,1.0,28.109180450439453,24.108123779296875,23.758258819580078,23.566938400268555,23.207164764404297,70.42578125,68.2391128540039,67.04336547851562,64.79478454589844
-3801133,172.95629787445068,0.4573911419670651,-0.019178111910206574,3.160886287689209,3,-39,0.0,1.0,28.109180450439453,24.108123779296875,23.758258819580078,23.566938400268555,23.207164764404297,70.42578125,68.2391128540039,67.04336547851562,64.79478454589844
-3801133,172.97879314422607,0.47655673902411877,-0.019981712879839186,3.160886287689209,3,-39,0.0,1.0,28.109180450439453,24.108123779296875,23.758258819580078,23.566938400268555,23.207164764404297,70.42578125,68.2391128540039,67.04336547851562,64.79478454589844
-3801133,172.99657130241394,0.49170343518056825,-0.020616803959017105,3.160886287689209,3,-39,0.0,1.0,28.109180450439453,24.108123779296875,23.758258819580078,23.566938400268555,23.207164764404297,70.42578125,68.2391128540039,67.04336547851562,64.79478454589844
-3801133,173.01489329338074,0.5073134678522706,-0.021271322435724827,3.160886287689209,3,-39,0.0,1.0,28.109180450439453,24.108123779296875,23.758258819580078,23.566938400268555,23.207164764404297,70.42578125,68.2391128540039,67.04336547851562,64.79478454589844
-3801133,173.032235622406,0.5220888447847472,-0.021890844342309812,3.160886287689209,3,-39,0.0,1.0,28.109180450439453,24.108123779296875,23.758258819580078,23.566938400268555,23.207164764404297,70.42578125,68.2391128540039,67.04336547851562,64.79478454589844
-3801133,173.04959845542908,0.5368816907835594,-0.022511098715439104,3.160886287689209,3,-39,0.0,1.0,28.109180450439453,24.108123779296875,23.758258819580078,23.566938400268555,23.207164764404297,70.42578125,68.2391128540039,67.04336547851562,64.79478454589844
-3801133,173.0671660900116,0.5518490243170504,-0.02313866923695862,3.160886287689209,3,-39,0.0,1.0,28.109180450439453,24.108123779296875,23.758258819580078,23.566938400268555,23.207164764404297,70.42578125,68.2391128540039,67.04336547851562,64.79478454589844
-3801133,173.08424973487854,0.5664040066335474,-0.023748950141211367,3.160886287689209,3,-39,0.0,1.0,28.109180450439453,24.108123779296875,23.758258819580078,23.566938400268555,23.207164764404297,70.42578125,68.2391128540039,67.04336547851562,64.79478454589844
-3801133,173.10140991210938,0.5810241932557858,-0.024361965019426002,3.160886287689209,3,-39,0.0,1.0,28.109180450439453,24.108123779296875,23.758258819580078,23.566938400268555,23.207164764404297,70.42578125,68.2391128540039,67.04336547851562,64.79478454589844
-3801133,173.11900854110718,0.5960179335174587,-0.024990642757814818,3.160886287689209,3,-39,0.0,1.0,28.109180450439453,24.108123779296875,23.758258819580078,23.566938400268555,23.207164764404297,70.42578125,68.2391128540039,67.04336547851562,64.79478454589844
